task,family,variant,base,mutation_target,model,trial,outcome_kind,analysis_status,behavioral,requirement_fidelity,full_contract,target_pass,non_target_fidelity,import_ok,resource_eligible,secs,prompt_bytes,prompt_chars,prompt_lines,first_prompt_tokens,first_cached_tokens,first_completion_tokens,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,total_tokens,api_calls,tool_calls,request_retries,agent_attempts,cost_usd,note
configweave_base,configweave,base,true,R4,glm-5.2,1,completed,graded,true,1.0,true,1.0,1.0,true,true,131.702843313,1929,1899,38,1313,704,74,115468,80448,35020,15052,130520,9,10,0,1,0.13617328,
configweave_base,configweave,base,true,R4,glm-5.2,2,completed,graded,true,1.0,true,1.0,1.0,true,true,110.407913622,1929,1899,38,1313,832,51,118292,70336,47956,14829,133121,10,11,0,1,0.15067335999999998,
configweave_base,configweave,base,true,R4,glm-5.2,3,completed,graded,true,1.0,true,1.0,1.0,true,false,143.689983613,1929,1899,38,1313,704,46,47891,17472,30419,14882,62773,5,6,1,1,0.11261012,
configweave_base,configweave,base,true,R4,minimax-m3,1,completed,graded,true,1.0,true,1.0,1.0,true,true,31.027436654,1929,1899,38,1587,896,38,17779,11776,6003,2440,20219,6,7,0,1,0.0054354600000000005,
configweave_base,configweave,base,true,R4,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,43.549355978,1929,1899,38,1587,1024,43,38711,27904,10807,3295,42006,10,11,0,1,0.00887034,
configweave_base,configweave,base,true,R4,minimax-m3,3,completed,graded,true,1.0,true,1.0,1.0,true,true,27.798511419,1929,1899,38,1587,896,46,13416,6784,6632,2489,15905,5,6,0,1,0.00538344,
configweave_base,configweave,base,true,R4,qwen3.7-max,1,completed,graded,true,1.0,true,1.0,1.0,true,true,208.207370468,1929,1899,38,1551,0,150,13101,4096,9005,11222,24323,5,5,0,1,0.05385075,
configweave_base,configweave,base,true,R4,qwen3.7-max,2,completed,graded,true,1.0,true,1.0,1.0,true,true,61.761011249,1929,1899,38,1551,0,153,13052,4096,8956,3098,16150,5,5,0,1,0.0233245,
configweave_base,configweave,base,true,R4,qwen3.7-max,3,completed,graded,true,1.0,true,1.0,1.0,true,true,125.790911203,1929,1899,38,1551,0,153,17555,6144,11411,6464,24019,6,6,0,1,0.03927175,
configweave_concat,configweave,concat,false,R4,glm-5.2,1,completed,graded,true,1.0,true,1.0,1.0,true,true,314.326652657,1969,1939,38,1324,0,16124,124120,57024,67096,20108,144228,8,9,0,1,0.19723584000000002,
configweave_concat,configweave,concat,false,R4,glm-5.2,2,completed,graded,true,1.0,true,1.0,1.0,true,true,87.410946683,1969,1939,38,1324,832,46,122434,92032,30402,14954,137388,10,11,0,1,0.13228872,
configweave_concat,configweave,concat,false,R4,glm-5.2,3,completed,graded,true,1.0,true,1.0,1.0,true,true,105.772639665,1969,1939,38,1324,704,6265,85649,59840,25809,11426,97075,9,10,0,1,0.1019654,
configweave_concat,configweave,concat,false,R4,minimax-m3,1,completed,graded,true,1.0,true,1.0,1.0,true,true,565.914324107,1969,1939,38,1599,1152,38,572628,427392,145236,70125,642753,11,12,0,1,0.15336432,
configweave_concat,configweave,concat,false,R4,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,27.921913216,1969,1939,38,1599,896,38,14261,9216,5045,2664,16925,5,6,0,1,0.0052632600000000005,
configweave_concat,configweave,concat,false,R4,minimax-m3,3,completed,graded,true,1.0,true,1.0,1.0,true,true,45.949295286,1969,1939,38,1599,1152,38,13954,5504,8450,2331,16285,5,6,0,1,0.0056624399999999995,
configweave_concat,configweave,concat,false,R4,qwen3.7-max,1,completed,graded,true,1.0,true,1.0,1.0,true,true,102.972451814,1969,1939,38,1562,0,478,14222,4096,10126,5356,19578,5,5,0,1,0.0332545,
configweave_concat,configweave,concat,false,R4,qwen3.7-max,2,completed,graded,true,1.0,true,1.0,1.0,true,true,68.929006919,1969,1939,38,1562,0,159,18394,8320,10074,3391,21785,6,6,0,1,0.02634875,
configweave_concat,configweave,concat,false,R4,qwen3.7-max,3,completed,graded,true,1.0,true,1.0,1.0,true,false,73.672993817,1969,1939,38,1562,0,148,18758,8320,10438,3516,22274,6,6,1,1,0.0272725,
configweave_union,configweave,union,false,R4,glm-5.2,1,completed,graded,true,1.0,true,1.0,1.0,true,true,427.085778877,2026,1996,38,1332,704,46,54461,26240,28221,11957,66418,7,9,0,1,0.0989426,
configweave_union,configweave,union,false,R4,glm-5.2,2,completed,graded,true,1.0,true,1.0,1.0,true,true,191.735758964,2026,1996,38,1332,704,69,187241,137728,49513,23133,210374,10,12,0,1,0.20691268,
configweave_union,configweave,union,false,R4,glm-5.2,3,completed,graded,true,1.0,true,1.0,1.0,true,true,317.703579558,2026,1996,38,1332,1280,20,95235,66432,28803,13023,108258,9,9,0,1,0.11489772,
configweave_union,configweave,union,false,R4,minimax-m3,1,completed,graded,true,1.0,true,1.0,1.0,true,true,35.200647213,2026,1996,38,1607,1536,46,19069,11648,7421,2836,21905,6,7,0,1,0.006328379999999999,
configweave_union,configweave,union,false,R4,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,54.782903623,2026,1996,38,1607,0,46,16483,6272,10211,3257,19740,5,6,0,1,0.007348019999999999,
configweave_union,configweave,union,false,R4,minimax-m3,3,completed,graded,true,1.0,true,1.0,1.0,true,true,50.837844583,2026,1996,38,1607,1536,38,15741,10240,5501,3434,19175,5,6,0,1,0.0063855,
configweave_union,configweave,union,false,R4,qwen3.7-max,1,completed,graded,true,1.0,true,1.0,1.0,true,false,219.013350305,2026,1996,38,1570,0,239,18206,8320,9886,11172,29378,6,6,3,1,0.0552925,
configweave_union,configweave,union,false,R4,qwen3.7-max,2,completed,graded,true,1.0,true,1.0,1.0,true,true,149.084635464,2026,1996,38,1570,0,174,14372,4096,10276,7888,22260,5,5,0,1,0.042937,
configweave_union,configweave,union,false,R4,qwen3.7-max,3,completed,graded,true,1.0,true,1.0,1.0,true,true,129.837948647,2026,1996,38,1570,0,188,14520,4096,10424,6800,21320,5,6,0,1,0.039042,
cursorvault_base,cursorvault,base,true,R4,glm-5.2,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,102.641605445,2118,2086,38,1341,896,20,74221,18880,55341,18321,92542,6,7,0,1,0.1629986,
cursorvault_base,cursorvault,base,true,R4,glm-5.2,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,68.007327077,2118,2086,38,1341,704,20,57188,51840,5348,12857,70045,7,7,0,1,0.07753639999999999,
cursorvault_base,cursorvault,base,true,R4,glm-5.2,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,101.779719463,2118,2086,38,1341,704,10986,71035,54912,16123,15342,86377,6,7,0,1,0.10435412,
cursorvault_base,cursorvault,base,true,R4,minimax-m3,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,17.586804618,2118,2086,38,1617,896,37,16108,13568,2540,1809,17917,6,7,0,1,0.0037468799999999997,
cursorvault_base,cursorvault,base,true,R4,minimax-m3,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,24.054753285,2118,2086,38,1617,1536,45,13290,7168,6122,2034,15324,5,6,0,1,0.004707479999999999,
cursorvault_base,cursorvault,base,true,R4,minimax-m3,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,25.630488992,2118,2086,38,1617,896,37,12600,7808,4792,1776,14376,5,6,0,1,0.00403728,
cursorvault_base,cursorvault,base,true,R4,qwen3.7-max,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,62.961929103,2118,2086,38,1580,0,167,16254,6144,10110,3097,19351,6,6,0,1,0.02501925,
cursorvault_base,cursorvault,base,true,R4,qwen3.7-max,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,false,116.630680218,2118,2086,38,1580,0,167,15645,4096,11549,5584,21229,6,6,3,1,0.03588825,
cursorvault_base,cursorvault,base,true,R4,qwen3.7-max,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,131.483800236,2118,2086,38,1580,0,165,19071,6144,12927,6791,25862,7,7,0,1,0.042393,
cursorvault_inclusive,cursorvault,inclusive,false,R4,glm-5.2,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,132.439510077,2120,2088,38,1345,704,51,69288,49472,19816,16235,85523,6,10,0,1,0.11203911999999999,
cursorvault_inclusive,cursorvault,inclusive,false,R4,glm-5.2,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,151.398578286,2120,2088,38,1345,704,10171,96825,66944,29881,13350,110175,8,9,0,1,0.11797884,
cursorvault_inclusive,cursorvault,inclusive,false,R4,glm-5.2,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,156.488933078,2120,2088,38,1345,704,64,101965,65792,36173,17431,119396,8,9,0,1,0.14444452000000002,
cursorvault_inclusive,cursorvault,inclusive,false,R4,minimax-m3,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,53.248315657,2120,2088,38,1621,0,37,32139,25472,6667,3041,35180,9,11,0,1,0.00717762,
cursorvault_inclusive,cursorvault,inclusive,false,R4,minimax-m3,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,27.370950984,2120,2088,38,1621,0,37,21425,12288,9137,2637,24062,7,8,0,1,0.006642780000000001,
cursorvault_inclusive,cursorvault,inclusive,false,R4,minimax-m3,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,49.71098282,2120,2088,38,1621,1536,46,24868,16000,8868,3044,27912,7,8,0,1,0.0072732,
cursorvault_inclusive,cursorvault,inclusive,false,R4,qwen3.7-max,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,69.663037886,2120,2088,38,1584,0,160,16127,6144,9983,3467,19594,6,6,0,1,0.026248,
cursorvault_inclusive,cursorvault,inclusive,false,R4,qwen3.7-max,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,79.195599275,2120,2088,38,1584,0,385,12318,4096,8222,4130,16448,5,5,0,1,0.026277,
cursorvault_inclusive,cursorvault,inclusive,false,R4,qwen3.7-max,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,54.080477861,2120,2088,38,1584,0,459,12348,4096,8252,2623,14971,5,5,0,1,0.02066325,
cursorvault_offset,cursorvault,offset,false,R4,glm-5.2,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,162.340477968,2100,2068,38,1340,704,15582,115899,56512,59387,19586,135485,7,7,0,1,0.18401332,
cursorvault_offset,cursorvault,offset,false,R4,glm-5.2,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,256.321428396,2100,2068,38,1340,704,31025,206768,138496,68272,35590,242358,7,7,0,1,0.28818576,
cursorvault_offset,cursorvault,offset,false,R4,glm-5.2,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,123.235260877,2100,2068,38,1340,704,15,80642,65792,14850,15531,96173,7,7,0,1,0.10623232,
cursorvault_offset,cursorvault,offset,false,R4,minimax-m3,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,48.028430816,2100,2068,38,1616,896,37,18544,8576,9968,2696,21240,6,9,0,1,0.00674016,
cursorvault_offset,cursorvault,offset,false,R4,minimax-m3,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,25.19006827,2100,2068,38,1616,896,45,16331,11136,5195,2373,18704,6,7,0,1,0.005074260000000001,
cursorvault_offset,cursorvault,offset,false,R4,minimax-m3,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,60.215276694,2100,2068,38,1616,1152,37,75580,60800,14780,6824,82404,14,15,0,1,0.0162708,
cursorvault_offset,cursorvault,offset,false,R4,qwen3.7-max,1,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,93.933162985,2100,2068,38,1579,0,2153,12276,4096,8180,4854,17130,5,5,0,1,0.0289395,
cursorvault_offset,cursorvault,offset,false,R4,qwen3.7-max,2,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,118.455034699,2100,2068,38,1579,0,1059,11355,2048,9307,6221,17576,5,5,0,1,0.0352185,
cursorvault_offset,cursorvault,offset,false,R4,qwen3.7-max,3,completed,graded,true,0.9,false,1.0,0.8888888888888888,true,true,183.201837259,2100,2068,38,1579,0,3289,24997,12544,12453,9654,34651,7,7,0,1,0.05333675,
detreport_base,detreport,base,true,R5,glm-5.2,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,91.066030093,2469,2433,45,1406,0,20,121567,92096,29471,11122,132689,13,14,0,1,0.11414116,
detreport_base,detreport,base,true,R5,glm-5.2,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,75.468522288,2469,2433,45,1406,0,21,38949,19520,19429,8849,47798,6,8,0,1,0.07121140000000001,
detreport_base,detreport,base,true,R5,glm-5.2,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,79.00288592,2469,2433,45,1406,0,20,50037,28224,21813,9591,59628,7,9,0,1,0.08007684,
detreport_base,detreport,base,true,R5,minimax-m3,1,completed,graded,true,1.0,true,1.0,1.0,true,true,35.062113432,2469,2433,45,1672,896,42,26797,17280,9517,2737,29534,8,10,0,1,0.007176299999999999,
detreport_base,detreport,base,true,R5,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,71.702259224,2469,2433,45,1672,896,39,44889,33280,11609,4431,49320,10,12,0,1,0.010796700000000001,
detreport_base,detreport,base,true,R5,minimax-m3,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,84.201542266,2469,2433,45,1672,896,34,98534,79616,18918,5628,104162,17,19,0,1,0.01720596,
detreport_base,detreport,base,true,R5,qwen3.7-max,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,false,87.374464889,2469,2433,45,1644,0,267,18793,8320,10473,3651,22444,6,7,1,1,0.0278225,
detreport_base,detreport,base,true,R5,qwen3.7-max,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,87.824851266,2469,2433,45,1644,0,319,29313,16768,12545,4271,33584,8,9,0,1,0.0337935,
detreport_base,detreport,base,true,R5,qwen3.7-max,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,false,100.507976119,2469,2433,45,1644,0,317,29762,14592,15170,4486,34248,8,9,3,1,0.037609,
detreport_descending,detreport,descending,false,R5,glm-5.2,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,118.086574438,2470,2434,45,1406,704,21,85043,60544,24499,11167,96210,10,12,0,1,0.09917484,
detreport_descending,detreport,descending,false,R5,glm-5.2,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,134.753269198,2470,2434,45,1406,704,21,79697,51584,28113,10072,89769,9,10,0,1,0.09708684,
detreport_descending,detreport,descending,false,R5,glm-5.2,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,50.511753133,2470,2434,45,1406,896,35,42431,24960,17471,7737,50168,7,9,0,1,0.0649918,
detreport_descending,detreport,descending,false,R5,minimax-m3,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,51.817541976,2470,2434,45,1672,1152,45,68241,55552,12689,6037,74278,13,15,0,1,0.01438422,
detreport_descending,detreport,descending,false,R5,minimax-m3,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,38.987181449,2470,2434,45,1672,1664,34,26515,18176,8339,3308,29823,7,9,0,1,0.007561859999999999,
detreport_descending,detreport,descending,false,R5,minimax-m3,3,completed,graded,true,0.36363636363636365,false,0.0,0.4,true,true,63.521340241,2470,2434,45,1672,896,34,70941,56576,14365,4181,75122,16,15,0,1,0.012721259999999998,
detreport_descending,detreport,descending,false,R5,qwen3.7-max,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,112.847593089,2470,2434,45,1644,0,300,18790,8320,10470,5776,24566,6,7,0,1,0.0357875,
detreport_descending,detreport,descending,false,R5,qwen3.7-max,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,87.339563162,2470,2434,45,1644,0,663,23872,12544,11328,4320,28192,7,8,0,1,0.031928,
detreport_descending,detreport,descending,false,R5,qwen3.7-max,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,126.829572616,2470,2434,45,1644,0,660,33846,16768,17078,6161,40007,9,10,0,1,0.04654725,
detreport_firstseen,detreport,firstseen,false,R5,glm-5.2,1,timeout,imputed_behavioral_failure,true,0.0,false,0.0,0.0,false,false,600.001341624,2482,2446,45,0,0,0,0,0,0,0,0,0,0,0,1,0.0,run timed out
detreport_firstseen,detreport,firstseen,false,R5,glm-5.2,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,95.738608937,2482,2446,45,1409,704,21,77177,56704,20473,11097,88274,9,10,0,1,0.09223204,
detreport_firstseen,detreport,firstseen,false,R5,glm-5.2,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,88.269847046,2482,2446,45,1409,0,273,59841,38144,21697,9296,69137,8,9,0,1,0.08119564,
detreport_firstseen,detreport,firstseen,false,R5,minimax-m3,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,70.991431416,2482,2446,45,1675,1664,38,57922,49536,8386,4289,62211,13,15,0,1,0.010634759999999998,
detreport_firstseen,detreport,firstseen,false,R5,minimax-m3,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,50.839228306,2482,2446,45,1675,0,34,40985,26880,14105,3959,44944,10,12,0,1,0.0105951,
detreport_firstseen,detreport,firstseen,false,R5,minimax-m3,3,completed,graded,true,0.36363636363636365,false,0.0,0.4,true,true,47.019735506,2482,2446,45,1675,896,48,29327,17536,11791,2825,32152,8,10,0,1,0.007979459999999999,
detreport_firstseen,detreport,firstseen,false,R5,qwen3.7-max,1,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,false,108.542474782,2482,2446,45,1647,0,270,37175,18816,18359,4985,42160,11,10,1,1,0.0439945,
detreport_firstseen,detreport,firstseen,false,R5,qwen3.7-max,2,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,false,130.938569569,2482,2446,45,1647,0,602,36721,18816,17905,5731,42452,11,10,3,1,0.0462245,
