task,family,variant,base,mutation_target,model,trial,requirement_id,requirement_role,requirement_type,is_mutation_target,passed,imputed
configweave_base,configweave,base,true,R4,glm-5.2,1,C1,CONSTRAINT,constraint,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R1,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R2,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R3,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R4,RULES,rule,true,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R5,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R6,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,R7,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,D1,DONE_WHEN,done_when,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,1,X1,ERRORS,error,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,C1,CONSTRAINT,constraint,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R1,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R2,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R3,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R4,RULES,rule,true,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R5,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R6,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,R7,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,D1,DONE_WHEN,done_when,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,2,X1,ERRORS,error,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,C1,CONSTRAINT,constraint,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R1,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R2,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R3,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R4,RULES,rule,true,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R5,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R6,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,R7,RULES,rule,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,D1,DONE_WHEN,done_when,false,true,false
configweave_base,configweave,base,true,R4,glm-5.2,3,X1,ERRORS,error,false,true,false
configweave_base,configweave,base,true,R4,minimax-m3,1,C1,CONSTRAINT,constraint,false,true,false
